t= 2.314575E-14	r= 2.374013E-07	r'= 1.467499E+07	r''= -4.393222E+21	th= 3.073214E+00	th'= 2.053670E+13
t= 2.316600E-14	r= 2.379921E-07	r'= 1.449750E+07	r''= -4.371687E+21	th= 3.074044E+00	th'= 2.043487E+13
t= 2.318625E-14	r= 2.385756E-07	r'= 1.432088E+07	r''= -4.350568E+21	th= 3.074870E+00	th'= 2.033503E+13
t= 2.320650E-14	r= 2.391521E-07	r'= 1.414510E+07	r''= -4.329858E+21	th= 3.075691E+00	th'= 2.023712E+13
t= 2.322675E-14	r= 2.397214E-07	r'= 1.397016E+07	r''= -4.309547E+21	th= 3.076509E+00	th'= 2.014110E+13
t= 2.324700E-14	r= 2.402837E-07	r'= 1.379602E+07	r''= -4.289628E+21	th= 3.077323E+00	th'= 2.004695E+13
t= 2.326725E-14	r= 2.408389E-07	r'= 1.362269E+07	r''= -4.270094E+21	th= 3.078133E+00	th'= 1.995463E+13
t= 2.328750E-14	r= 2.413871E-07	r'= 1.345014E+07	r''= -4.250937E+21	th= 3.078939E+00	th'= 1.986409E+13
t= 2.330775E-14	r= 2.419284E-07	r'= 1.327836E+07	r''= -4.232150E+21	th= 3.079742E+00	th'= 1.977531E+13
t= 2.332800E-14	r= 2.424627E-07	r'= 1.310733E+07	r''= -4.213725E+21	th= 3.080541E+00	th'= 1.968825E+13
t= 2.334825E-14	r= 2.429901E-07	r'= 1.293704E+07	r''= -4.195657E+21	th= 3.081337E+00	th'= 1.960288E+13
t= 2.336850E-14	r= 2.435106E-07	r'= 1.276748E+07	r''= -4.177938E+21	th= 3.082129E+00	th'= 1.951916E+13
t= 2.338875E-14	r= 2.440242E-07	r'= 1.259863E+07	r''= -4.160562E+21	th= 3.082918E+00	th'= 1.943708E+13
t= 2.340900E-14	r= 2.445311E-07	r'= 1.243047E+07	r''= -4.143523E+21	th= 3.083703E+00	th'= 1.935659E+13
t= 2.342925E-14	r= 2.450311E-07	r'= 1.226300E+07	r''= -4.126815E+21	th= 3.084486E+00	th'= 1.927766E+13
t= 2.344950E-14	r= 2.455244E-07	r'= 1.209619E+07	r''= -4.110432E+21	th= 3.085265E+00	th'= 1.920028E+13
t= 2.346975E-14	r= 2.460109E-07	r'= 1.193005E+07	r''= -4.094368E+21	th= 3.086041E+00	th'= 1.912441E+13
t= 2.349000E-14	r= 2.464907E-07	r'= 1.176454E+07	r''= -4.078618E+21	th= 3.086814E+00	th'= 1.905003E+13
t= 2.351025E-14	r= 2.469639E-07	r'= 1.159967E+07	r''= -4.063177E+21	th= 3.087584E+00	th'= 1.897711E+13
t= 2.353050E-14	r= 2.474303E-07	r'= 1.143542E+07	r''= -4.048038E+21	th= 3.088351E+00	th'= 1.890563E+13
t= 2.355075E-14	r= 2.478901E-07	r'= 1.127178E+07	r''= -4.033198E+21	th= 3.089115E+00	th'= 1.883555E+13
t= 2.357100E-14	r= 2.483433E-07	r'= 1.110873E+07	r''= -4.018651E+21	th= 3.089877E+00	th'= 1.876687E+13
t= 2.359125E-14	r= 2.487900E-07	r'= 1.094626E+07	r''= -4.004392E+21	th= 3.090635E+00	th'= 1.869955E+13
t= 2.361150E-14	r= 2.492300E-07	r'= 1.078437E+07	r''= -3.990417E+21	th= 3.091391E+00	th'= 1.863358E+13
t= 2.363175E-14	r= 2.496635E-07	r'= 1.062304E+07	r''= -3.976722E+21	th= 3.092145E+00	th'= 1.856893E+13
t= 2.365200E-14	r= 2.500905E-07	r'= 1.046225E+07	r''= -3.963301E+21	th= 3.092895E+00	th'= 1.850558E+13
t= 2.367225E-14	r= 2.505109E-07	r'= 1.030201E+07	r''= -3.950151E+21	th= 3.093644E+00	th'= 1.844351E+13
t= 2.369250E-14	r= 2.509249E-07	r'= 1.014229E+07	r''= -3.937267E+21	th= 3.094389E+00	th'= 1.838270E+13
t= 2.371275E-14	r= 2.513325E-07	r'= 9.983083E+06	r''= -3.924646E+21	th= 3.095133E+00	th'= 1.832313E+13
t= 2.373300E-14	r= 2.517336E-07	r'= 9.824386E+06	r''= -3.912283E+21	th= 3.095874E+00	th'= 1.826479E+13
t= 2.375325E-14	r= 2.521283E-07	r'= 9.666185E+06	r''= -3.900175E+21	th= 3.096612E+00	th'= 1.820765E+13
t= 2.377350E-14	r= 2.525165E-07	r'= 9.508469E+06	r''= -3.888319E+21	th= 3.097348E+00	th'= 1.815170E+13
t= 2.379375E-14	r= 2.528985E-07	r'= 9.351228E+06	r''= -3.876709E+21	th= 3.098082E+00	th'= 1.809692E+13
t= 2.381400E-14	r= 2.532740E-07	r'= 9.194452E+06	r''= -3.865343E+21	th= 3.098814E+00	th'= 1.804329E+13
t= 2.383425E-14	r= 2.536432E-07	r'= 9.038132E+06	r''= -3.854218E+21	th= 3.099544E+00	th'= 1.799080E+13
t= 2.385450E-14	r= 2.540061E-07	r'= 8.882257E+06	r''= -3.843330E+21	th= 3.100272E+00	th'= 1.793943E+13
t= 2.387475E-14	r= 2.543627E-07	r'= 8.726819E+06	r''= -3.832677E+21	th= 3.100997E+00	th'= 1.788917E+13
t= 2.389500E-14	r= 2.547130E-07	r'= 8.571807E+06	r''= -3.822254E+21	th= 3.101721E+00	th'= 1.784000E+13
