t= 2.612249E-15	r= 6.537615E-08	r'= 4.618589E+07	r''= -5.445693E+22	th= 2.915943E+00	th'= 2.708063E+14
t= 2.614499E-15	r= 6.558344E-08	r'= 4.594157E+07	r''= -5.412829E+22	th= 2.917158E+00	th'= 2.690972E+14
t= 2.616749E-15	r= 6.578963E-08	r'= 4.569872E+07	r''= -5.380433E+22	th= 2.918365E+00	th'= 2.674131E+14
t= 2.618999E-15	r= 6.599473E-08	r'= 4.545733E+07	r''= -5.348495E+22	th= 2.919565E+00	th'= 2.657535E+14
t= 2.621249E-15	r= 6.619875E-08	r'= 4.521735E+07	r''= -5.317006E+22	th= 2.920757E+00	th'= 2.641180E+14
t= 2.623499E-15	r= 6.640169E-08	r'= 4.497879E+07	r''= -5.285958E+22	th= 2.921942E+00	th'= 2.625060E+14
t= 2.625749E-15	r= 6.660356E-08	r'= 4.474161E+07	r''= -5.255342E+22	th= 2.923119E+00	th'= 2.609171E+14
t= 2.627999E-15	r= 6.680436E-08	r'= 4.450580E+07	r''= -5.225151E+22	th= 2.924290E+00	th'= 2.593509E+14
t= 2.630249E-15	r= 6.700411E-08	r'= 4.427134E+07	r''= -5.195375E+22	th= 2.925453E+00	th'= 2.578069E+14
t= 2.632499E-15	r= 6.720281E-08	r'= 4.403821E+07	r''= -5.166007E+22	th= 2.926610E+00	th'= 2.562846E+14
t= 2.634749E-15	r= 6.740046E-08	r'= 4.380639E+07	r''= -5.137040E+22	th= 2.927760E+00	th'= 2.547838E+14
t= 2.636999E-15	r= 6.759707E-08	r'= 4.357587E+07	r''= -5.108466E+22	th= 2.928903E+00	th'= 2.533038E+14
t= 2.639249E-15	r= 6.779264E-08	r'= 4.334663E+07	r''= -5.080277E+22	th= 2.930040E+00	th'= 2.518444E+14
t= 2.641499E-15	r= 6.798719E-08	r'= 4.311864E+07	r''= -5.052468E+22	th= 2.931170E+00	th'= 2.504051E+14
t= 2.643749E-15	r= 6.818071E-08	r'= 4.289190E+07	r''= -5.025030E+22	th= 2.932294E+00	th'= 2.489857E+14
t= 2.645999E-15	r= 6.837322E-08	r'= 4.266638E+07	r''= -4.997957E+22	th= 2.933411E+00	th'= 2.475856E+14
t= 2.648249E-15	r= 6.856471E-08	r'= 4.244208E+07	r''= -4.971242E+22	th= 2.934522E+00	th'= 2.462046E+14
t= 2.650499E-15	r= 6.875520E-08	r'= 4.221896E+07	r''= -4.944880E+22	th= 2.935627E+00	th'= 2.448422E+14
