t= 7.222499E-15	r= 8.539566E-08	r'= 5.268024E+07	r''= -3.257561E+22	th= 2.890456E+00	th'= 1.587178E+14
t= 7.229249E-15	r= 8.610389E-08	r'= 5.224397E+07	r''= -3.205933E+22	th= 2.892581E+00	th'= 1.561176E+14
t= 7.235999E-15	r= 8.680628E-08	r'= 5.181456E+07	r''= -3.155932E+22	th= 2.894672E+00	th'= 1.536014E+14
t= 7.242749E-15	r= 8.750292E-08	r'= 5.139180E+07	r''= -3.107486E+22	th= 2.896729E+00	th'= 1.511654E+14
t= 7.249499E-15	r= 8.819389E-08	r'= 5.097547E+07	r''= -3.060526E+22	th= 2.898754E+00	th'= 1.488060E+14
t= 7.256249E-15	r= 8.887928E-08	r'= 5.056539E+07	r''= -3.014989E+22	th= 2.900747E+00	th'= 1.465198E+14
t= 7.262999E-15	r= 8.955918E-08	r'= 5.016136E+07	r''= -2.970812E+22	th= 2.902710E+00	th'= 1.443036E+14
t= 7.269749E-15	r= 9.023367E-08	r'= 4.976321E+07	r''= -2.927938E+22	th= 2.904644E+00	th'= 1.421543E+14
t= 7.276499E-15	r= 9.090281E-08	r'= 4.937076E+07	r''= -2.886313E+22	th= 2.906549E+00	th'= 1.400692E+14
t= 7.283249E-15	r= 9.156670E-08	r'= 4.898385E+07	r''= -2.845886E+22	th= 2.908426E+00	th'= 1.380455E+14
t= 7.289999E-15	r= 9.222540E-08	r'= 4.860232E+07	r''= -2.806607E+22	th= 2.910276E+00	th'= 1.360806E+14
t= 7.296749E-15	r= 9.287899E-08	r'= 4.822602E+07	r''= -2.768431E+22	th= 2.912100E+00	th'= 1.341721E+14
t= 7.303499E-15	r= 9.352753E-08	r'= 4.785480E+07	r''= -2.731314E+22	th= 2.913899E+00	th'= 1.323178E+14
t= 7.310249E-15	r= 9.417109E-08	r'= 4.748852E+07	r''= -2.695214E+22	th= 2.915673E+00	th'= 1.305155E+14
t= 7.316999E-15	r= 9.480974E-08	r'= 4.712705E+07	r''= -2.660091E+22	th= 2.917423E+00	th'= 1.287631E+14
t= 7.323749E-15	r= 9.544354E-08	r'= 4.677025E+07	r''= -2.625910E+22	th= 2.919150E+00	th'= 1.270586E+14
t= 7.330499E-15	r= 9.607256E-08	r'= 4.641801E+07	r''= -2.592633E+22	th= 2.920854E+00	th'= 1.254003E+14
t= 7.337249E-15	r= 9.669685E-08	r'= 4.607020E+07	r''= -2.560226E+22	th= 2.922536E+00	th'= 1.237863E+14
t= 7.343999E-15	r= 9.731647E-08	r'= 4.572671E+07	r''= -2.528659E+22	th= 2.924196E+00	th'= 1.222150E+14
t= 7.350749E-15	r= 9.793149E-08	r'= 4.538743E+07	r''= -2.497900E+22	th= 2.925836E+00	th'= 1.206848E+14
t= 7.357499E-15	r= 9.854195E-08	r'= 4.505224E+07	r''= -2.467920E+22	th= 2.927455E+00	th'= 1.191941E+14
t= 7.364249E-15	r= 9.914792E-08	r'= 4.472105E+07	r''= -2.438691E+22	th= 2.929054E+00	th'= 1.177416E+14
t= 7.370999E-15	r= 9.974944E-08	r'= 4.439376E+07	r''= -2.410186E+22	th= 2.930634E+00	th'= 1.163259E+14
t= 7.377749E-15	r= 1.003466E-07	r'= 4.407027E+07	r''= -2.382381E+22	th= 2.932195E+00	th'= 1.149456E+14
t= 7.384499E-15	r= 1.009394E-07	r'= 4.375049E+07	r''= -2.355250E+22	th= 2.933738E+00	th'= 1.135994E+14
t= 7.391249E-15	r= 1.015278E-07	r'= 4.343432E+07	r''= -2.328772E+22	th= 2.935263E+00	th'= 1.122863E+14
t= 7.397999E-15	r= 1.021121E-07	r'= 4.312169E+07	r''= -2.302923E+22	th= 2.936770E+00	th'= 1.110051E+14
t= 7.404749E-15	r= 1.026921E-07	r'= 4.281251E+07	r''= -2.277684E+22	th= 2.938260E+00	th'= 1.097546E+14
t= 7.411499E-15	r= 1.032680E-07	r'= 4.250669E+07	r''= -2.253032E+22	th= 2.939733E+00	th'= 1.085339E+14
t= 7.418249E-15	r= 1.038398E-07	r'= 4.220416E+07	r''= -2.228950E+22	th= 2.941190E+00	th'= 1.073419E+14
t= 7.424999E-15	r= 1.044076E-07	r'= 4.190485E+07	r''= -2.205419E+22	th= 2.942632E+00	th'= 1.061777E+14
t= 7.431749E-15	r= 1.049713E-07	r'= 4.160868E+07	r''= -2.182421E+22	th= 2.944057E+00	th'= 1.050403E+14
t= 7.438499E-15	r= 1.055310E-07	r'= 4.131557E+07	r''= -2.159939E+22	th= 2.945468E+00	th'= 1.039290E+14
t= 7.445249E-15	r= 1.060868E-07	r'= 4.102547E+07	r''= -2.137957E+22	th= 2.946864E+00	th'= 1.028429E+14
t= 7.451999E-15	r= 1.066387E-07	r'= 4.073830E+07	r''= -2.116460E+22	th= 2.948245E+00	th'= 1.017811E+14
t= 7.458749E-15	r= 1.071868E-07	r'= 4.045400E+07	r''= -2.095431E+22	th= 2.949612E+00	th'= 1.007430E+14
t= 7.465499E-15	r= 1.077310E-07	r'= 4.017251E+07	r''= -2.074858E+22	th= 2.950965E+00	th'= 9.972770E+13
t= 7.472249E-15	r= 1.082714E-07	r'= 3.989377E+07	r''= -2.054725E+22	th= 2.952304E+00	th'= 9.873459E+13
t= 7.478999E-15	r= 1.088081E-07	r'= 3.961772E+07	r''= -2.035021E+22	th= 2.953631E+00	th'= 9.776297E+13
t= 7.485749E-15	r= 1.093411E-07	r'= 3.934430E+07	r''= -2.015731E+22	th= 2.954944E+00	th'= 9.681219E+13
t= 7.492499E-15	r= 1.098704E-07	r'= 3.907345E+07	r''= -1.996845E+22	th= 2.956245E+00	th'= 9.588162E+13
t= 7.499249E-15	r= 1.103961E-07	r'= 3.880513E+07	r''= -1.978350E+22	th= 2.957533E+00	th'= 9.497067E+13
t= 7.505999E-15	r= 1.109182E-07	r'= 3.853928E+07	r''= -1.960234E+22	th= 2.958809E+00	th'= 9.407875E+13
t= 7.512749E-15	r= 1.114367E-07	r'= 3.827585E+07	r''= -1.942488E+22	th= 2.960073E+00	th'= 9.320531E+13
t= 7.519499E-15	r= 1.119517E-07	r'= 3.801479E+07	r''= -1.925100E+22	th= 2.961326E+00	th'= 9.234983E+13
t= 7.526249E-15	r= 1.124631E-07	r'= 3.775606E+07	r''= -1.908060E+22	th= 2.962567E+00	th'= 9.151177E+13
t= 7.532999E-15	r= 1.129711E-07	r'= 3.749960E+07	r''= -1.891359E+22	th= 2.963797E+00	th'= 9.069066E+13
t= 7.539749E-15	r= 1.134756E-07	r'= 3.724538E+07	r''= -1.874988E+22	th= 2.965016E+00	th'= 8.988601E+13
t= 7.546499E-15	r= 1.139767E-07	r'= 3.699334E+07	r''= -1.858936E+22	th= 2.966224E+00	th'= 8.909736E+13
t= 7.553249E-15	r= 1.144744E-07	r'= 3.674345E+07	r''= -1.843197E+22	th= 2.967421E+00	th'= 8.832428E+13
t= 7.559999E-15	r= 1.149688E-07	r'= 3.649566E+07	r''= -1.827760E+22	th= 2.968608E+00	th'= 8.756633E+13
t= 7.566749E-15	r= 1.154598E-07	r'= 3.624994E+07	r''= -1.812618E+22	th= 2.969786E+00	th'= 8.682310E+13
t= 7.573499E-15	r= 1.159476E-07	r'= 3.600624E+07	r''= -1.797764E+22	th= 2.970953E+00	th'= 8.609420E+13
t= 7.580249E-15	r= 1.164320E-07	r'= 3.576453E+07	r''= -1.783190E+22	th= 2.972110E+00	th'= 8.537925E+13
t= 7.586999E-15	r= 1.169132E-07	r'= 3.552477E+07	r''= -1.768888E+22	th= 2.973258E+00	th'= 8.467788E+13
t= 7.593749E-15	r= 1.173912E-07	r'= 3.528692E+07	r''= -1.754851E+22	th= 2.974397E+00	th'= 8.398972E+13
t= 7.600499E-15	r= 1.178660E-07	r'= 3.505095E+07	r''= -1.741073E+22	th= 2.975526E+00	th'= 8.331444E+13
t= 7.607249E-15	r= 1.183376E-07	r'= 3.481682E+07	r''= -1.727547E+22	th= 2.976646E+00	th'= 8.265170E+13
t= 7.613999E-15	r= 1.188060E-07	r'= 3.458450E+07	r''= -1.714266E+22	th= 2.977757E+00	th'= 8.200119E+13
t= 7.620749E-15	r= 1.192714E-07	r'= 3.435396E+07	r''= -1.701225E+22	th= 2.978860E+00	th'= 8.136259E+13
t= 7.627499E-15	r= 1.197336E-07	r'= 3.412516E+07	r''= -1.688418E+22	th= 2.979954E+00	th'= 8.073560E+13
t= 7.634249E-15	r= 1.201927E-07	r'= 3.389807E+07	r''= -1.675838E+22	th= 2.981040E+00	th'= 8.011993E+13
t= 7.640999E-15	r= 1.206488E-07	r'= 3.367267E+07	r''= -1.663481E+22	th= 2.982118E+00	th'= 7.951531E+13
t= 7.647749E-15	r= 1.211019E-07	r'= 3.344892E+07	r''= -1.651341E+22	th= 2.983187E+00	th'= 7.892145E+13
t= 7.654499E-15	r= 1.215520E-07	r'= 3.322680E+07	r''= -1.639412E+22	th= 2.984249E+00	th'= 7.833810E+13
t= 7.661249E-15	r= 1.219990E-07	r'= 3.300627E+07	r''= -1.627690E+22	th= 2.985302E+00	th'= 7.776500E+13
